a.	[ə.]	n. 天主教徒
organize	[ˈɔrgəˌnaɪz]	v. 组织；使有系统化；给予生机；组织成立工会等
orient	[ˈɔriˌɛnt]	v. 使适应；确定方向；使朝东 ｜n. 东方；东方诸国 ｜adj. 东方的
oriental	[ˌɔriˈɛnəl]	adj. 东方的；东方人的 ｜n. 东方人
orientation	[ˌɔriɛnˈteɪʃən]	n. 方向；定向；适应；情况介绍；向东方
originate	[ərˈɪʤəˌneɪt]	v. 引起；创作
ornament	[ˈɔrnəmənt]	v. 装饰,美化 ｜n. 装饰,装饰物
orphan	[ˈɔrfən]	adj. 孤儿的；无双亲的 ｜n. 孤儿 ｜v. 使成孤儿
orthodox	[ˈɔrθəˌdɑks]	adj. 正统的；传统的；惯常的；东正教的 ｜n. 正统的人；正统的事物
ounce	[aʊns]	n. 盎司；少量；雪豹
outbreak	[ˈaʊtˌbreɪk]	n. （战争的）爆发；（疾病的）发作 ｜vi. 爆发
outcome	[ˈaʊtˌkəm]	n. 结果，结局；成果
outdoor	[ˈaʊtˌdɔr]	adj. 户外的；露天的；野外的（等于out-of-door）
outer	[ˈaʊtər]	adj. 外面的，外部的；远离中心的 ｜n. 环外命中
outfit	[ˈaʊtˌfɪt]	n. 机构；用具；全套装备 ｜v. 得到装备
outing	[ˈaʊtɪŋ]	n. 远足， 郊游， 短途旅行
outlet	[ˈaʊˌtlɛt]	n. 出口，排放孔；[电] 电源插座；销路；发泄的方法；批发商店
outline	[ˈaʊˌtlaɪn]	n. 轮廓；大纲；概要；略图 ｜v. 概述；略述；描画…轮廓
outlook	[ˈaʊˌtlʊk]	n. 展望；观点；景色 ｜vt. 比……好看；用目光压倒 ｜vi. 朝外看
output	[ˈaʊtˌpʊt]	n. 产量， 输出
outrage	[ˈaʊˌtreɪʤ]	n. 愤怒，愤慨；暴行；侮辱 ｜v. 凌辱，强奸；对…施暴行；激起愤怒
outset	[ˈaʊtˌsɛt]	n. 开始；开端
outskirts	[ˈaʊtˌskərts]	n. 市郊，郊区
outward	[ˈaʊtwərd]	adj. 向外的；外面的；公开的；外服的；肉体的 ｜adv. 向外（等于outwards）；在外；显而易见地 ｜n. 外表；外面；物质世界
oval	[ˈoʊvəl]	adj. 椭圆的；卵形的 ｜n. 椭圆形；卵形
oven	[ˈəvən]	n. 炉，灶；烤炉，烤箱
overcoat	[ˈoʊvərˌkoʊt]	n. 大衣，外套
overcome	[ˈoʊvərˌkəm]	v. 克服；胜过
overflow	[ˌoʊvərˈfloʊ]	v. 溢出；泛滥；充溢 ｜n. 充满，洋溢；泛滥；超值；溢值
overhaul	[ˈoʊvərˌhɔl]	n. 彻底检修；改革 ｜vt. 彻底检修；赶上， 超过
overhead	[ˈoʊvərˈhɛd]	adv. 在头顶上， 在空中 ｜adj. 在头顶上的； 架空的
overhear	[ˈoʊvərˈhir]	v. 无意中听到；偷听
overlap	[ˈoʊvərˌlæp]	n. 重叠；重复 ｜v. 部分重叠；部分的同时发生
overlook	[ˈoʊvərˌlʊk]	v. 忽略；俯瞰；远眺；检查；高耸于…之上 ｜n. 忽视；眺望
overnight	[ˈoʊvərˈnaɪt]	adv. 通宵；突然；昨晚 ｜adj. 晚上的；通宵的；前夜的 ｜n. 头天晚上；一夜的逗留 ｜vt. 连夜快递 ｜vi. 过一夜
overpass	[ˈoʊvərˌpæs]	n. 过街天桥
overseas	[ˈoʊvərˈsiz]	adv. 在海外，海外 ｜adj. 海外的，国外的
overtake	[ˈoʊvərˌteɪk]	v. 赶上；压倒；突然来袭
overthrow	[ˈoʊvərθˌroʊ]	n. 推翻；倾覆；瓦解 ｜v. 推翻；打倒；倾覆
overtime	[ˈoʊvərˌtaɪm]	n. 超时工作，加班时间 ｜adv. 加班 ｜adj. 超时的；加班的 ｜vt. 使超过时间
overturn	[ˈoʊvərˌtərn]	v. 推翻；倾覆；破坏 ｜n. 倾覆；周转；破灭
overwhelm	[ˌoʊvərˈwɛlm]	v. 淹没；压倒；受打击；覆盖；压垮
overwhelming	[ˌoʊvərˈwɛlmɪŋ]	adj. 压倒性的；势不可挡的 ｜v. 压倒；淹没（overwhelm的ing形式）；制服
owe	[oʊ]	v. 欠；感激；应给予；应该把……归功于 ｜n. (Owe)人名；(瑞典、挪)奥弗
owing	[oʊɪŋ]	adj. 未付的；欠着的 ｜v. 欠；把…归功于（owe的ing形式）
owl	[aʊl]	n. 猫头鹰；枭；惯于晚上活动的人
ownership	[ˈoʊnərˌʃɪp]	n. 所有权；物主身份
ox	[ɑks]	n. 牛；公牛
oxide	[ˈɑkˌsaɪd]	n. [化学] 氧化物
oxygen	[ˈɑksɪʤən]	n. [化学] 氧气，[化学] 氧
ozone	[ˈoʊˌzoʊn]	n. [化学] 臭氧；新鲜的空气
pace	[peɪs]	n. 一步；步速；步伐；速度 ｜v. 踱步；缓慢而行
package	[ˈpækɪʤ]	n. 包，包裹；套装软件，[计] 程序包 ｜adj. 一揽子的 ｜v. 打包；将…包装
packet	[ˈpækɪt]	n. 数据包，信息包；小包，小捆 ｜vt. 包装，打包
pact	[pækt]	n. 协定；公约；条约；契约
pad	[pæd]	n. 衬垫；护具；便笺簿；填补 ｜v. 步行；放轻脚步走
paddle	[ˈpædəl]	n. 划桨；明轮翼 ｜v. 拌；搅；用桨划
pail	[peɪl]	n. 桶，提桶
painful	[ˈpeɪnfəl]	adj. 痛苦的；疼痛的；令人不快的
painter	[ˈpeɪnər]	n. 画家；油漆匠
palace	[ˈpæləs]	n. 宫,宫殿
pale	[peɪl]	adj. 苍白的,灰白的；浅的,暗淡的
palm	[pɑm]	n. 手掌；棕榈树；掌状物 ｜v. 将…藏于掌中
pamphlet	[ˈpæmflət]	n. 小册子
pan	[pæn]	n. 平底锅 ｜v. 淘金；在浅锅中烹调（食物）；[非正式用语]严厉的批评
panda	[ˈpændə]	n. 熊猫；猫熊
panic	[ˈpænɪk]	n. 恐慌,惊慌 ｜v. 使惊慌,使害怕 ｜adj. 恐慌的；没有理由的
panorama	[ˌpænərˈæmə]	n. 全景；全景画
pant	[pænt]	v. 喘息；渴望；气喘吁吁地说出某事 ｜n. 气喘；喘息；喷气声
pants	[pænts]	n. 裤子
paperback	[ˈpeɪpərˌbæk]	n. 平装本；廉价本 ｜vt. 以平装本出版 ｜adj. 纸面装订的；纸面平装本书籍的
parachute	[ˈpɛrəˌʃut]	n. 降落伞 ｜v. 跳伞
parade	[pəreɪd]	n. 游行；检阅,阅兵式 ｜v. 游行；列队行进
paradigm	[ˈpɛrəˌdaɪm]	n. 典范; 范例; 示例
paradise	[ˈpɛrəˌdaɪs]	n. 天堂
paradox	[ˈpærədɒks]	n. 悖论，似非而是的说法；自相矛盾（的情况）
paragraph	[ˈpɛrəˌgræf]	n. 段落；短评；段落符号 ｜v. 将…分段
parallel	[ˈpɛrəˌlɛl]	adj. 平行的；相同的,类似的 ｜n. 平行线；对比 ｜v. 使…与…平行
paralyze	[ˈpɛrəˌlaɪz]	v. (paralyse)使瘫痪(麻痹)；使不能正常运作，使陷入瘫痪
parameter	[pərˈæmətər]	n. 参数; 界限
parasite	[ˈpɛrəˌsaɪt]	n. 寄生虫,食客
parcel	[ˈpɑrsəl]	n. 包裹,邮包 ｜v. 打包,捆扎
pardon	[ˈpɑrdən]	n. 原谅,宽恕 ｜v. 赦免
partial	[ˈpɑrʃəl]	adj. 部分的,不完全的；偏袒的,不公平的,偏爱的
participant	[pɑrˈtɪsəpənt]	n. 参加者,参与者 ｜adj. 有份的,参与的
participate	[pɑrˈtɪsəˌpeɪt]	v. (in)参与,参加
particle	[ˈpɑːtɪkl]	n. 微粒,极小量；粒子
partly	[ˈpɑrtli]	adv. 部分地,不完全地,在一定程度上
passenger	[ˈpæsənʤər]	n. 旅客；乘客；过路人；碍手碍脚的人
passerby	[ˈpæsərbi]	n. 过路人， 行人
passion	[ˈpæʃən]	n. 激情；热情；酷爱；盛怒
passive	[ˈpæsɪv]	adj. 被动的，消极的；被动语态的 ｜n. 被动语态
passport	[ˈpæˌspɔrt]	n. 护照，通行证；手段
paste	[peɪst]	v. 张贴，裱糊；用浆糊粘 ｜n. 面团，膏；糊状物，[胶粘] 浆糊
pastime	[ˈpæˌstaɪm]	n. 娱乐，消遣
pasture	[ˈpæsʧər]	n. 草地；牧场；牧草 ｜v. 放牧；吃草
pat	[pæt]	adj. 恰好的；熟练的；合适的 ｜adv. 恰好；熟记地 ｜n. 轻拍；小块；轻拍声 ｜v. 轻拍
patch	[pæʧ]	n. 眼罩；斑点；碎片；小块土地 ｜v. 修补；解决；掩饰
patent	[ˈpætənt]	adj. 专利的， 特许的 ｜n. 专利； 专利品； 专利权 ｜vt. 批准专利， 获得专利
pathetic	[pəˈθɛtɪk]	adj. 可怜的，悲哀的；感伤的；乏味的
patience	[ˈpeɪʃəns]	n. 耐性，耐心；忍耐，容忍
patriotic	[ˌpeɪtriˈɑtɪk]	adj. 爱国的
patrol	[pəˈtroʊl]	n. 巡逻；巡逻队；侦察队 ｜v. 巡逻；巡查
patron	[ˈpeɪtrən]	n. 赞助人；保护人；主顾
pause	[pɔz]	n. 暂停；间歇 ｜v. 暂停，停顿，中止；踌躇
pave	[peɪv]	v. 铺设；安排；作铺设之用 ｜n. (Pave)人名；(西、塞)帕韦
pavement	[ˈpeɪvmənt]	n. 人行道
paw	[pɔ]	n. 爪
payload	[ˈpeɪləʊd]	n. 搭载
pea	[pi]	n. 豌豆
peaceful	[ˈpisfəl]	adj. 和平的，爱好和平的；平静的
peach	[piʧ]	n. 桃子；桃树；桃红色；受人喜欢的人（或物） ｜adj. 桃色的；用桃子制成的 ｜v. 告密
peanut	[ˈpiˌnət]	n. 花生
pear	[pɛr]	n. [园艺] 梨树；梨子
pearl	[pərl]	n. 珍珠；珍珠色；杰出者；珍品 ｜adj. 镶珍珠的；珍珠状的 ｜v. 采珍珠；成珍珠状
peasant	[ˈpɛzənt]	n. 农民；乡下人
pebble	[ˈpɛbəl]	n. 卵石
peculiar	[pɪˈkjuljər]	adj. 特殊的；独特的；奇怪的；罕见的 ｜n. 特权；特有财产
pedal	[ˈpɛdəl]	v. 踩踏板；骑车 ｜n. 踏板；脚蹬子 ｜adj. 脚的；脚踏的
pedestrian	[pəˈdɛstriən]	adj. 徒步的；缺乏想像力的 ｜n. 行人；步行者
peel	[pil]	v. 剥，剥落；削 ｜n. 皮
peep	[pip]	n. 偷看；隐约看见，瞥见 ｜v. 窥视；慢慢露出，出现；吱吱叫
peer	[pɪr]	n. 贵族；同等的人；同龄人 ｜v. 凝视，盯着看；窥视
pen	[pɛn]	n. 钢笔；作家；围栏 ｜v. 写；关入栏中
penalty	[ˈpɛnəlti]	n. 处罚， 惩罚
pencil	[ˈpɛnsəl]	n. 铅笔；笔状物 ｜v. 用铅笔写；用眉笔涂
pendulum	[ˈpɛnʤələm]	n. 钟摆；摇锤；摇摆不定的事态
penetrate	[ˈpɛnəˌtreɪt]	v. 穿过， 渗入；看穿， 洞察
peninsula	[pəˈnɪnsələ]	n. 半岛
penny	[ˈpɛni]	n. 便士
pension	[ˈpɛnʃən]	n. 养老金,年金 ｜v. 发给养老金或抚恤金
pepper	[ˈpɛpər]	n. 胡椒；辣椒；胡椒粉 ｜v. 加胡椒粉于；使布满
perceive	[pərˈsiv]	v. 理解,领悟；察觉,感知
percentage	[pərˈsɛnɪʤ]	n. 百分比；百分率，百分数
perception	[pəˈsepʃn]	n. 感知
perfection	[pərˈfɛkʃən]	n. 尽善尽美,完美
perfume	[pərfˈjum]	n. 香水；香味 ｜v. 洒香水于…；使…带香味
periodical	[ˌpɪriˈɑdɪkəl]	adj. [数] 周期的；定期的 ｜n. 期刊；杂志
perish	[ˈpɛrɪʃ]	v. 使麻木；毁坏
permeate	[ˈpərmiˌeɪt]	v. 渗透，透过；弥漫
permission	[pərˈmɪʃən]	n. 允许，许可
permit	[ˈpɜːmɪt]	v. 许可；允许 ｜n. 许可证，执照
perpetual	[pərˈpɛʧuəl]	adj. 永久的,永恒的,长期的
perplex	[pərˈplɛks]	v. 使困惑，使为难；使复杂化
persecute	[ˈpərsəˌkjut]	v. 迫害
persevere	[pərsəˈvɪr]	v. 坚持；不屈不挠；固执己见（在辩论中）
persist	[pərˈsɪst]	v. 坚持；执意；继续存在[发生]；持续
persuade	[pərsˈweɪd]	v. 说服，劝说；使某人相信；劝某人做（不做）某事 ｜adj. 空闲的，有闲的
persuasion	[pərsˈweɪʒən]	n. 说服；说服力；信念；派别
pessimistic	[ˌpɛsəˈmɪstɪk]	adj. 悲观(主义)的
pest	[pɛst]	n. 害虫；有害之物；讨厌的人
pet	[pɛt]	n. 宠物 ｜adj. 钟爱的 (理论、项目、学科等) ｜v. 宠爱
petition	[pəˈtɪʃən]	n. 请愿书,申请书 ｜v. (向…)请愿,正式请求
petrol	[ˈpɛtroʊl]	n. （英）汽油
petroleum	[pəˈtroʊliəm]	n. 石油
petty	[ˈpɛˌti]	adj. 小(器、规模)的,不重要的,细微的 ｜n. (Petty)人名；(英、法)佩蒂
pharma	[ˈfɑːmə]	n. 医药
pharmacy	[ˈfɑrməsi]	n. 药房；配药学，药剂学；制药业；一批备用药品
phenomenon	[fəˈnɑməˌnɑn]	n. 现象；奇迹；杰出的人才
philosopher	[fəˈlɑsəfər]	n. 哲学家；哲人
philosophy	[fəˈlɑsəfi]	n. 哲学；哲理；人生观
phrase	[freɪz]	n. 短语, 习语, 措辞, 乐句 ｜v. 措词, 将(乐曲)分成乐句
physician	[fəˈzɪʃən]	n. [医] 医师；内科医师
physicist	[ˈfɪzɪsɪst]	n. 物理学家；唯物论者
physiological	[ˌfɪziəˈlɑʤɪkəl]	adj. 生理学的, 生理学上的
physiology	[ˌfɪziˈɑləʤi]	n. 生理学
pickup	[ˈpɪˌkəp]	n. 收集，整理；小卡车；拾起；搭车者；偶然结识者
picnic	[ˈpɪkˌnɪk]	n. 野餐 ｜v. 去野餐
pie	[paɪ]	n. 馅饼；饼图；爱说话的人 ｜vt. 使杂乱
pierce	[pɪrs]	v. 刺穿；洞察；响彻；深深地打动
pig	[pɪg]	n. 猪；猪肉 ｜v. 生小猪；像猪一样过活
pigeon	[ˈpɪʤɪn]	n. 鸽子
pile	[paɪl]	n. 堆；大量；建筑群 ｜v. 累积；打桩于
pilgrim	[ˈpɪlgrɪm]	n. 朝圣者；漫游者；（美）最初的移民 ｜vi. 去朝圣；漫游
pill	[pɪl]	n. 药丸；弹丸，子弹；口服避孕药 ｜v. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
pillar	[ˈpɪlər]	n. 柱子，柱形物；栋梁；墩 ｜vt. 用柱支持
pillow	[ˈpɪloʊ]	n. 枕头 ｜v. 垫；枕于…；使…靠在
pinch	[pɪnʧ]	v. 捏；勒索；使苦恼；掐掉某物，修剪 ｜n. 匮乏；少量；夹痛
pine	[paɪn]	v. 渴望，痛苦；憔悴 ｜n. [林] 松树；凤梨，菠萝 ｜adj. 松木的；似松的
pint	[paɪnt]	n. 品脱；一品脱的量；一品脱牛奶或啤酒
pioneer	[ˌpaɪəˈnɪr]	n. 先锋；拓荒者 ｜v. 开辟；倡导；提倡
pipe	[paɪp]	n. 管；烟斗；笛 ｜v. 吹笛；尖叫
pirate	[ˈpaɪrət]	n. 海盗；盗版；侵犯专利权者 ｜v. 掠夺；翻印；剽窃
pistol	[ˈpɪstəl]	n. 手枪；信号枪 ｜vt. 用手枪射击
piston	[ˈpɪstən]	n. 活塞
pit	[pɪt]	n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众 ｜v. 使竞争；窖藏；使凹下；去…之核；使留疤痕
pitch	[pɪʧ]	v. 倾斜；投掷；搭帐篷；坠落 ｜n. 沥青；音高；程度；树脂；倾斜；投掷；球场
pity	[ˈpɪti]	n. 怜悯，同情；遗憾 ｜v. 对……表示怜悯；对……感到同情
plague	[pleɪg]	n. 瘟疫；灾祸；麻烦；讨厌的人 ｜v. 折磨；使苦恼；使得灾祸
plain	[pleɪn]	adj. 平的；简单的；朴素的；清晰的 ｜n. 平原；无格式；朴实无华的东西 ｜adv. 清楚地；平易地
plaintiff	[ˈpleɪnəf]	n. 原告
plantation	[ˌplænˈteɪʃən]	n. 栽植；殖民；大农场 ｜adj. 适用于种植园或热带、亚热带国家的
plaster	[ˈplæstər]	n. 石膏；灰泥；膏药 ｜v. 减轻；粘贴；涂以灰泥；敷以膏药；使平服
plateau	[plæˈtoʊ]	n. 高原 ｜adj. 高原印第安人的
plausible	[ˈplɔzəbəl]	adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
playground	[ˈpleɪˌgraʊnd]	n. 运动场，操场；游乐场
plea	[pli]	n. 恳求，请求；辩解，辩护；借口，托辞
plead	[plid]	v. 借口；为辩护；托称
pleasant	[ˈplɛzənt]	adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的 ｜n. (Pleasant)人名；(英)普莱曾特
pledge	[plɛʤ]	n. 保证，誓言；抵押；抵押品，典当物 ｜v. 保证，许诺；用……抵押；举杯祝……健康
plentiful	[ˈplɛnɪfəl]	adj. 丰富的；许多的；丰饶的；众多的
plight	[plaɪt]	n. 困境；境况；誓约 ｜v. 保证；约定
plough	[ploʊ]	v. 犁；耕 ｜n. 犁；耕地（等于plow）
plug	[pləg]	n. 插头；塞子；栓 ｜v. 塞住；用插头将与电源接通
plumber	[ˈpləmər]	n. 水管工；堵漏人员
plunge	[plənʤ]	n. 投入；跳进 ｜v. 突然地下降；投入；陷入；跳进
plural	[ˈplʊrəl]	adj. 复数的 ｜n. 复数
pneumonia	[nəˈmoʊnjə]	n. 肺炎
pocket	[ˈpɑkət]	n. 口袋；钱；容器 ｜v. 隐藏；忍受；将…放入衣袋 ｜adj. 小型的，袖珍的；金钱上的
poem	[poʊəm]	n. 诗
poetic	[pəʊˈetɪk]	adj. 诗意
poetry	[ˈpoʊətri]	n. 诗；诗意，诗情；诗歌艺术
poison	[ˈpɔɪzən]	v. 污染；使中毒，放毒于；败坏；阻碍 ｜n. 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂 ｜adj. 有毒的
poisonous	[ˈpɔɪzənəs]	adj. 有毒的；恶毒的；讨厌的
poke	[poʊk]	v. 刺，捅；戳；伸出；刺探；闲荡 ｜n. 戳；刺；袋子；懒汉
polar	[ˈpoʊlər]	adj. 极地的；两极的；正好相反的 ｜n. 极面；极线
pole	[poʊl]	n. 杆；极点；电极 ｜v. 用竿支撑
policeman	[pəˈlismən]	n. 警察
polish	[ˈpɑlɪʃ]	n. 磨光，擦亮；擦亮剂；优雅，精良 ｜v. 擦亮，变光滑 ｜adj. 波兰的
polite	[pəˈlaɪt]	adj. 有礼貌的,客气的;有教养的,文雅的
politician	[ˌpɑləˈtɪʃən]	n. 政治家,政客
poll	[poʊl]	n. 民意测验 ｜v. 获得…选票 ｜adj. 无角的；剪过毛的；修过枝的
pollute	[pəˈlut]	v. 污染；玷污；败坏
pollution	[pəˈluʃən]	n. 污染
pond	[pɑnd]	vt. 筑成池塘 ｜vi. 筑成池塘 ｜n. 池塘
ponder	[ˈpɑndər]	v. 仔细考虑；衡量 ｜n. (Ponder)人名；(英)庞德
pope	[poʊp]	n. 教皇，罗马教皇；权威，大师
porcelain	[ˈpɔrsələn]	n. 瓷；瓷器 ｜adj. 瓷制的；精美的
porch	[pɔrʧ]	n. 门廊；走廊
pork	[pɔrk]	n. 猪肉 ｜vt. 与女子性交
portable	[ˈpɔrtəbəl]	adj. 轻便的,手提(式)的,可移动的 ｜n. 手提式打字机
porter	[ˈpɔrtər]	n. 守门人,门房；行李搬运工；服务员
portfolio	[pɔrtˈfoʊliˌoʊ]	n. 公文包；文件夹； 作品集；投资组合
portrait	[ˈpɔrtrət]	n. 肖像,画像
portray	[pɔrˈtreɪ]	v. 描写，描绘
pose	[poʊz]	n. 姿势，姿态 ｜v. 造成，引起，产生
positioning	[pəˈzɪʃnɪŋ]	n. 定位
possess	[pəˈzes]	v. 拥有
possession	[pəˈzɛʃən]	n. 持有,拥有；所有物；财产,财物
postage	[ˈpoʊstɪʤ]	n. 邮资，邮费
postcard	[ˈpoʊˌskɑrd]	n. 明信片
poster	[ˈpoʊstər]	n. 海报，广告；招贴
postman	[ˈpoʊstmən]	n. 邮递员
postpone	[poʊstˈpoʊn]	v. 使…延期；把…放在次要地位；把…放在后面
posture	[ˈpɑsʧər]	n. 姿势；态度；情形 ｜v. 摆姿势
pot	[pɑt]	n. 壶；盆；罐 ｜v. 把…装罐；射击；节略
potato	[pəˈteɪˌtoʊ]	n. [作物] 土豆，[作物] 马铃薯
poultry	[ˈpoʊltri]	n. 家禽
pound	[paʊnd]	n. 英镑；重击，重击声；兽栏；拘留所 ｜v. 捣烂；敲打；监禁，拘留
pour	[pɔr]	n. 倾泻；流出；骤雨 ｜v. 灌，注；倒；倾泻；倾吐
poverty	[ˈpɑvərti]	n. 贫困；困难；缺少；低劣
powder	[ˈpaʊdər]	n. 粉；粉末；[化工][军] 火药；尘土 ｜v. 使成粉末；撒粉；搽粉于
practical	[ˈpræktɪkəl]	adj. 实际的；实用性的
practically	[ˈpræktɪkəli]	adv. 实际地；几乎；事实上
practise	[ˈpræktɪs]	v. 练习，实践；实施，实行；从事
practitioner	[prækˈtɪʃənər]	n. 开业者，从业者，执业医生
praise	[preɪz]	n. 赞扬；称赞；荣耀；崇拜 ｜v. 赞美，歌颂；表扬
pray	[preɪ]	v. 祈祷,祈求；请求,恳求,祈求 ｜n. (Pray)人名；(匈)普劳伊；(英)普雷
prayer	[prɛr]	n. 祷告,祷文；祈祷
preach	[priʧ]	v. 说教；讲道；鼓吹；传道；反复灌输 ｜n. 说教
precaution	[priˈkɔʃən]	n. 预防，警惕；预防措施 ｜vt. 警惕；预先警告
precede	[prɪˈsid]	v. 先于；走在…之前
precedent	[ˈprɛsɪdənt]	n. 先例 ｜adj. 在前的；在先的
preceding	[priˈsidɪŋ]	adj. 在前的,在先的 ｜v. 在之前（precede的ing形式）
precious	[ˈprɛʃəs]	adj. 珍贵的；贵重的 ｜n. (Precious)人名；(英)普雷舍斯，普雷舍丝(女名)
precise	[prɪˈsaɪs]	adj. 精确的,准确的
precision	[priˈsɪʒən]	n. 精确,精确度
preclude	[prɪˈklud]	v. 排除,阻止,妨碍
predecessor	[ˈprɛdəˌsɛsər]	n. 前辈，前任
predict	[prɪˈdɪkt]	v. 预言,预测,预告
predominant	[prɪˈdɑmənənt]	adj. (over)占优势的;主要的,突出的
preface	[ˈprɛfəs]	n. 前言；引语 ｜v. 为…加序言；以…开始
preferable	[ˈprɛfərəbəl]	adj. 更好的，更可取的；更合意的
preference	[ˈprɛfərəns]	n. 偏爱，倾向；优先权
prejudice	[ˈprɛʤədɪs]	n. 偏见；侵害 ｜v. 损害；使有偏见
preliminary	[prɪˈlɪməˌnɛri]	adj. 预备的,初步的 ｜n. 准备；预赛；初步措施
premise	[ˈprɛmɪs]	v. 引出，预先提出；作为…的前提 ｜n. 前提；上述各项；房屋连地基
premium	[ˈpriːmiəm]	n. 额外费用；奖金；保险费;(商)溢价 ｜adj. 高价的；优质的
preparation	[ˌprɛpərˈeɪʃən]	n. 准备,预备；制剂,制备品
prescribe	[prəˈskraɪb]	v. 指示,规定；处(方),开(药)
prescription	[prəˈskrɪpʃən]	n. 药方,处方 ｜adj. 凭处方方可购买的
presently	[ˈprɛzəntli]	adv. 一会儿,不久；现在,目前
preserve	[prɪˈzərv]	v. 保存；保护；维持；腌；禁猎 ｜n. 保护区；禁猎地；加工成的食品
preside	[prɪˈzaɪd]	v. (at,over)主持
prestige	[prɛˈstiʒ]	n. 声望,威望,威信
presumably	[prɪˈzuməbli]	adv. 大概；推测起来；可假定
presume	[prɪˈzum]	v. 推测；擅自行动；假定
pretend	[priˈtɛnd]	v. 假装，伪装，佯装 ｜adj. 假装的
pretext	[ˈpriˌtɛkst]	n. 借口；托辞 ｜vt. 以…为借口
prevail	[prɪˈveɪl]	v. 盛行，流行；战胜，获胜
prevalent	[ˈprɛvələnt]	adj. 流行的,普遍的
prey	[preɪ]	v. 捕食；掠夺；折磨 ｜n. 捕食；牺牲者；被捕食的动物
prick	[prɪk]	v. 刺，戳；刺伤，刺痛；竖起 ｜n. 刺，扎；刺痛，刺伤；阴茎；锥 ｜adj. 竖起的
pride	[praɪd]	n. 自豪（感），骄傲 ｜v. 使自豪
priest	[prist]	n. 神父；教士 ｜vt. 使成为神职人员；任命…为祭司
primitive	[ˈprɪmɪtɪv]	adj. 原始的,远古的,早期的；简陋的; 旧式的 ｜n. 原始人
